Veranstalter,Thema,Ort,Datum,Uhrzeit der Versammlung,sheet_name
Fridays for Future Erfurt,Fridays for Future- Nachhaltigkeit  Kleidertausch zum Black Friday,Angerdreieck /Anger1 - Anger- Regierungstraße- Lange Brücke- Kettenstraße-Domplatz-Marktstraße- Fischmarkt- Schlösserstraße Anger 1 Abschlusskundgebung,2021-11-26 00:00:00,14:00  - 16:00 Uhr,2021
Extinction Rebellion ,Schluss mit der Zerstörung von Ökosystemen und Frieden durch die Finanzierungen der Deutschen Bank,Juri-Gagarin-Ring 101,2021-10-29 00:00:00,11:00-17:00 Uhr,2021
Einzelperson,Menschenrechte in Krisenzeiten,"Fischmarkt, Schlösserstraße Anger Neuwerkstraße Eichenstraße Regierungsstraße Anger Willy_brandt-Platz Bahnhofstraße Anger  Fischmarkt ","01.11.2021, 08.11.2021, 15.11.2021 22.11.2021",19:15-20:15 Uhr,2021
"Projektgruppe ""Erfurt im Nationalsozialismus"" beim DGB-Bildungswerk Thüringen e.V.",Erinnern heißt handeln - Erfurt im Nationalsozialismus,Aufzug: Willy-Brandt-Platz --> Innenstadt - Klostergang,2021-11-05 00:00:00,17.00 - 19.00 Uhr,2021
Fridays for Future Erfurt ABGESAGT,Fridays for Future- Nachhaltigkeit & Kleidertausch zum Black Friday,vor Anger 1,2021-11-26 00:00:00,15.00 - 18.00 Uhr,2021
ver.di,Tarifrunde der privaten Banken un der COM TS,"Juri-Gagarin-Ring 86, 99084 Erfurt",2021-11-10 00:00:00,11.00- 12.30 Uhr,2021
Einzelperson,CSD Thüringen,"Aufzug: Willy-Brandt-Platz, Bahnhofstraße, Juri-Gagarin-Ring, Trommsdorffstraße, Anger (Zwischenkundgebung), Regierungsstraße bis Staatskanzlei, Eichenstraße, Löberstraße, A rnstädter Straße, Thüringer Landtag Änderung: Standkundgebung Jürgen-Fuchs-Straße (vor dem Landtag)",2021-11-27 00:00:00,12:00 - 17:00 Uhr,2021
Einzelperson,Menschlichkeit in Krisenzeiten,Aufzugsstrecke: Lutherdenkmal  à  Anger à Regierungsstraße à Lange Brücke à Marstallstraße à Meister-Eckehart-Straße à Regierungsstraße à Anger à Bahnhofstraße à Willy-Brandt-Platz à Bahnhofstraße à Lutherdenkmal,2021-11-29 00:00:00,19:15 - 20:15 Uhr,2021
GEW Thüringen,UnverzichtBAR - Wertschätzung des öffentlichen Dinestes in der Tarifrunde der Länder,Vorplatz Thüringer Staatskanzlei,2021-11-17 00:00:00,15:00 - 17:00 Uhr,2021
"Architects for Future, Ortsgruppe Erfurt Abgesagt","Bauwende JETZT! Bauminister:innen, schafft Rahmenbedingungen für klimaneutrales und kreislauffähiges Bauen!",Platz am Juri-Ggarin-Ring 127,2021-11-18 00:00:00,16:00 - 17:30 Uhr,2021
Bürger für Thüringen,Gegen die Ausgrenzung von Menschen durch die 2 G-Regel,"Jürgen-Fuchs-Straße 1, 99096 Erfurt (Thüringer Landtag)",2021-11-17 00:00:00,17:30 - 18:30 Uhr,2021
Einzelperson Abgesagt,Ausgrenzung durch 3G/2G sofort beenden,vor dem Lutherdenkal am Anger,"18.11.2021, 25.11.2021, 02.12.2021, 09.12.2021, 16.12.2021, 23.12.2021, 30.12.2021",15:30 - 16:30 Uhr,2021
parents4future,"""Fairliche Weihnacht""",Rathausbrücke,2021-11-29 00:00:00,17:15 - 19:00 Uhr,2021
Freie Menschen Herr Vorbringer  ABGESAGT ,Für eine gemeinsame Gesellschaft. Gegen Spaltung.,Anger (vor Lutherdenkmal),2021-11-29 00:00:00,19.30 - 19.30 Uhr,2021
Aaron Jona Mayr CDU Erfurt ABGESAGT,Bürgerversammlung,P&R Ringelberg,2021-12-11 00:00:00,,2021
Einzelperson,ein christliches Zeichen setzen + Mahnwache,St.-Christophorus-Straße ,06.12.2021; 13.12.2021; 20.12.2021 und 27.12.2021,19:00 - 20:30 Uhr,2021
Bürger für Thüringen,"Wir stehen auf - für die Gesundheit, die Sicherheit und die Zukunft unserer Kinder!",Angerdreieck,2021-12-10 00:00:00,17.00 - 18.00 Uhr,2021
Neue Stärke Partei,Kampfkultur - Hol dir deine Stadt und dein Land zurück,Blücherstraße Kreisel Dornheimstraße ,2021-12-11 00:00:00,15.00 - 16.00 Uhr,2021
Einzelperson,Antirassismus muss laut werden!,Willy-Brandt.Platz Erfurt (Bahnhofsvorplatz),2021-12-11 00:00:00,14.30 - 17:00 Uhr,2021
"Der III. Weg
",Winterhilfe,"Ernst-Haeckel-Straße, Haltestelee Drosselberg",2021-01-11 00:00:00,10:00 - 12:00 Uhr,2021
"Anonymus for the Voiceless
",Abschaffung des TIerleides durch Veganismus ,Angerdreieck,2021-12-18 00:00:00,14:00 - 17:00 Uhr,2021
Neue Stärke Partei,Erster Mai 2022 in Erfurt - kein Frieden mit System und Kapital!,Aufzug Domplatz --> Innenstadt --> Willy-Brandt-Platz,2022-05-01 00:00:00,12.00 - 18.00 Uhr,2022
DGB Region Thüringen,2022-05-01 00:00:00,"Aufzug TSK --> Anger, Anger Kundgebung",2022-05-01 00:00:00,06.00 - 18.00 Uhr,2022
Omas gegen Rechts Erfurt e.V.,Demokratisches Erfurt - Nazifreie Zone,Domplatz - Südseite,2022-05-01 00:00:00,08.00 - 20.00 Uhr,2022
Grüne Jugend Erfurt,1. Mai - Nazifrei - Die NSE gehört nicht her,Fischmarkt ggü Rathaus,2022-05-01 00:00:00,10:00 - 18:00 Uhr,2022
"Linksjugend [`solid] OG Erfurt
ABGESAGT 29.04.2022",1. Mai - Erfurt bleibt Nazifrei,"Hauptbahnhof-Südseite, Fußweg zwischen Fahrradstellplatz & Fußgängerampel zur Windhorststraße",2022-05-01 00:00:00,10.00  - 18.00 Uhr,2022
Brennesel e.V.,One Billion Rising: weltweite Aktion gegen Gewalt an Frauen,Angerdreieck,2022-02-14 00:00:00,15:30 - 18:00 Uhr,2022
Omas gegen Rechts Erfurt e.V.,Menschenkette für Demokratie und Rücksichtnahme in der Pandemie,Domplatz --> Innenstadt --> Domplatz,2022-01-08 00:00:00,14.00 - 16.00 Uhr,2022
Einzelperson,ein chrisitliches Zeichen setzen + Mahnwache,Erfurt Marbach St-Christophorus-Straße,"03.01.2022
10.01.2022
17.01.2022
24.01.2022
31.01.2022",19:00 - 20:30 Uhr,2022
AfD-Landesverband Thüringen ABGESAGT ,"Wo sind unsere Grundrechte hin, Her Maier!!",Erfurt Anger ggü Hugendubel,2022-01-10 00:00:00,16:00 - 17:00 Uhr,2022
Anonymus for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-01-22 00:00:00,15:00 - 18:00 Uhr,2022
Grüne Jugend Erfurt,Querdenken blockieren! Gegen Verschwörungsideologien - für eine solidarische Pandemiebekämpfung,Angerdreieck,2022-01-17 00:00:00,19.00 - 21.00 Uhr,2022
Bürgerinitiative Lebensraum Apfelstädt,"Unterstützung der Anhörung unserer Petitions-/ Umweltausschuss am 20.01.2022 um 17:30 Uhr, für den Erhalt der Flora und Fauina in und am Flusslauf der Apfelstädt","Jürgen-Fuchs-Straße 1, 99096 Erfurt
Thüringer Landtag",2022-01-20 00:00:00,16:30 - 19:30 Uhr,2022
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus ,"27.01.2022 Hart IV in Zeiten der Inflation
24.02.2022 Rentenpolitik
10.03.2022 Weltfrauentag
14.04.2022 Ostermarsch
12.05.2022 Zum Tag der Befreiung vom Faschismus
09.06.2022 Klima- Umweltpolitik",Angerdreieck,"27.01.2022
24.02.2022
10.03.2022
14.04.2022
12.05.2022
09.06.2022",jeweils von 17:00 - 18:00 Uhr,2022
Ver.di Vereinte Dienstleistungsgewerkschaft Bezrik Thüringen,Unterstützung der Tarifverhandlungen öffentlcihe Banken (ink. Social Media),Domplatz (Obelisk),2022-01-18 00:00:00,09:00 - 10:30 Uhr,2022
SPD Erfurt ABGESAGT !!,Tag der Arbeit - Mindestlohn für ein Mindestmaß an Fairness,Leipziger Platz,2022-05-01 00:00:00,10:00 - 16:00 Uhr,2022
Auf die Plätze - Bündnis,Widerstand is` wunderbar - durchgeimpfte Antifa,Angerdreieck,2022-01-31 00:00:00,18.00 - 20.30 Uhr,2022
Einzelperson,Keine Bebauung in Schmira - Nord,vor der Thüringenhalle ,2022-01-26 00:00:00,16.30 - 17.30 Uhr,2022
AfD-Kreisverband Mittelthüringen,Gesund ohne Zwang    Bescheid am Vorgang 019/22,Angerdreieck,2022-01-29 00:00:00,09:00 - 10:30 Uhr,2022
Afd-Kreisverband Mittelthüringen,Gesund ohne Zwang,Angerdreieck,2022-01-31 00:00:00,12:00 - 13:30 Uhr,2022
AfD-Kreisverband Mittelthüringen,Gesund ohne Zwang,Angerdreieck,2022-02-07 00:00:00,12:00 - 13:30 Uhr,2022
AfD-Kreisverband Mittelthüringen,Gesund ohne Zwang,Angerdreieck,2022-02-12 00:00:00,12:00 - 13:30 Uhr,2022
AfD-Kreisverband Mittelthüringen,Gesund ohne Zwang,vor Anger 1,2022-02-14 00:00:00,15:00 - 16:30 Uhr,2022
FKK - Freie Kulturkarawane,Rave in Solidarity - keine Dezibil nach rechts,Johann-Sebastian-Bach-Straße/ Arnstädter Straße,2022-05-01 00:00:00,09:00 - 22.00 Uhr,2022
Grüne Jugend Erfurt,Querdenken blockieren! - für eine solidarische Coronapolitik!,zwischen Neuwerkstraße 3 und 6,2022-01-29 00:00:00,15.00 - 17.00 Uhr,2022
Grüne Jugend Erfurt,Querdenken blockieren! - für eine solidarische Coronapolitik!,Angerdreieck,2022-02-02 00:00:00,18.30 - 20.30 Uhr,2022
"Europabüro Reinhard Bütikofer, MdEP",Fotoaktion Olympia: Menschenrechte in China,Angerdreieck,2022-02-04 00:00:00,14.15 - 14.45 Uhr,2022
Einzelperson,ein christliches Zeichen setzen + Mahnwache,Erfurt Marbach St-Christophorus-Straße,"07.02.2022
14.02.2022
21.02.2022
28.02.2022",19.00 - 20.30 Uhr,2022
Seebrücke Erfurt,"2 Jahre nach dem rassistischen Anschlag in Hanau: Erinnerung, Gerechtigkeit, Aufklärung, Konsequenzen!",Angerdreieck,2022-02-19 00:00:00,13:30 - 16.30 Uhr,2022
Internationalistisches Bündnis Erfurt,Sofortiger Stopp der Angriffe der Türkei auf die kurdischen Gebiete,Aufzug: Willy-Brandt-Platz --> Bahnhofstraße --> Angerdreieck,2022-02-04 00:00:00,16.30- 17.30 Uhr,2022
ver.di Thüringen,Für gute Arbeitsbedingungen in der AWO Thüringen,Wiese innere Johannesmauer/ i.H. Johannesstraße 59,2022-03-08 00:00:00,16.00 - 18.30 Uhr,2022
Frauenzentrum Brennessel e.V.,08. März Frauentag,Aufzug Willy-Brandt-Platz --> Innenstadt --> Angerdreieck,2022-03-08 00:00:00,12.30 - 18.30 Uhr,2022
Initiative Tag gegen Rassismus,Tag gegen alle Arten von Rassismus,Domplatz --> Innenstadt --> Willy-Brandt-Platz,2022-03-21 00:00:00,17.00 - 20.00 Uhr,2022
Einzelperson,Wir lassen uns die Demokratie nicht nehmen - ein Zeichen gegen das unsolidarische Verhalten der Schwurbler!,vor der Staatskanzlei,2022-02-12 00:00:00,15.30 - …,2022
Grüne Jugend Erfurt,Kein Bock auf Querdenken! Gegen Verschwörungsideologien,Angerdreieck,2022-02-14 00:00:00,18.30 - 21.00 Uhr,2022
"DIE LINKE Stadtverband Erfurt
",Aufruf zum Frieden: Keine Eskalation der Ukraine-Krise!,Angerdreieck,2022-02-18 00:00:00,16.00 - 18.00 Uhr,2022
Einzelperson,Freiden>>>Freiheit>>>Demokratie,Stadtgebiet Erfurt/ Autokorso,2022-03-05 00:00:00,13.30 - 17.00 Uhr,2022
Ver.di Vereinte Dienstleistungsgewerkschaft Bezirk Thüringen,Unterstützung Tarifverhandlungen der Privaten Banken,"Juri-Gagarin-Ring 86, 99084 Erfurt vor ComTS Gebäude",2022-02-15 00:00:00,09.15 - 12.00 Uhr,2022
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck oder Anger Lutherdenmkal ,2022-02-19 00:00:00,15.00 - 18.00 Uhr,2022
MigraNetz Thüringen e.V.,Erinnerung an die Opfer von Hanau,Angerdreieck,2022-02-19 00:00:00,17.00 - 20.00 Uhr,2022
Fridays for Future Erfurt,Globaler Klimastreik,Aufzzug: Domplatz (Auftaktkundgebung 30 Min.) --> Markstraße --> Schlösserstraße (Zwischenkundgebung 30 Min.) --> Bahnhofstraße --> Juri-Gagarin-Ring --> (Zwischenkundgebung Höhe Krämpferstraße 30 Min.) --> Meienbergstraße --> Rathausbrücke --> Fischmarkt --> Marktstraße --> Domplatz (Abschlusskundgebung 90 Min),2022-03-25 00:00:00,15.00 - 19.00 Uhr,2022
DGB Stadtverband Erfurt,Equal Pay Day,Fischmakrt vor dem Rathaus,2022-03-07 00:00:00,15.00 - 17.00 Uhr,2022
VCD,"Critical Mass - ""Warum hört der Fahrradweg einfach hier auf?""",Aufzug: Willy-Brandt-Platz --> Bahnhofstraße --> Anger --> Schlösserstraße --> Fischmarkt --> Marktstraße --> Domplatz links --> links Kettenstraße --> Lange Brücke --> links Paulstraße --> Meister-Eckehart-Straße --> rechts Regierungsstraße --> links Lutherstraße --> Karl-Marx-Platz --> Juri-Gagarin-Ring --> links Krämpferstraße --> rechts Johannesstraße --> links Augustinerstraße --> rechts Am Hügel --> Juri-Gagarin-Ring --> links Franckestraße --> Schlachthofstraße --> rechts Liebknkechtstraße --> Thälmannstraße --> Trommsdorffstraße --> links Juri-Gagarin-Ring --> Karl-Marx-Platz --> links Dalbergsweg --> Walkmühlstraße --> Bonifaciusstraße --> rechts Bonemilchstraße --> rechts Maximilian-Welsch-Straße --> Lauentor --> Domplatz --> links Andreasstraße --> rechts Große Ackerhofsgasse --> rechts Moritzstraße --> rechts Marbacher Gasse --> links Weiße Gasse --> links Andreasstraße --> Domplatz SÜD ,2022-02-25 00:00:00,18.30 - 20.00 Uhr,2022
Einzelperson,Tanzen für Frieden,Domplatz,2022-03-06 00:00:00,11.00 - 11.30 Uhr,2022
"Bürger für Thüringen
",Keine Impfpflicht - auch nicht für Gesundheitsberufe,"Hugo-Preuß-Platz 1, 99084 Erfurt (Wiese vor dem Gericht)",2022-03-13 00:00:00,13.00 - 15.00 Uhr,2022
Klimacamp Erfurt,Protestcamp für Klimagerechtigkeit - Bürgerbeteiligung beim Klimaschutzkonzept der Stadt Erfurt nicht verschlafen!,Fischmarkt,23.04.2022,ganztägig,2022
Kultur-Verein Mesopotamien Erfurt,Newroz-Fest,Wiese vor dem Nordbad,2022-03-26 00:00:00,10.00 - 20.00 Uhr,2022
Junge Union Erfurt,Frieden in Europa und Solidarität mit der Ukraine,Fischmarkt,2022-02-23 00:00:00,17.30 - 18.30 Uhr,2022
Grüne Jugend Erfurt,Frieden für die Ukraine,Fischmarkt,2022-02-25 00:00:00,18.00 - 19.30 Uhr,2022
Einzelperson,European for Freedom Infotour,Parkplatz Moskauer Platz Nordhäuser Straße Riethstraße Mittelhäuser straße Magdeburger allee Johannesstraße Juri-Gagarin-Ring Bürgermeister Wagner Straße Willy-Brandt Platz (Zwischenkundgebung) Bahmhofstraße Juri-Gagarin Ring Dalbergsweg Walkmühlstraße Bonifaciusstraße Heinrichstraße Binderslebener Landstraße Biereyestraße Albrechtstraße Blumenstraße Nordhäusr Straße Moskauer Straße Parkplatz Moskauer Platz,2022-02-26 00:00:00,9:30 Uhr -12:00Uhr,2022
Neue Stärke Partei,Heraus zum 01. Mai 2022 in Erfurt - Meinungsparagraphen abschaffen!,"Vilnius Passage
Abzweig Wiesenhügel
Gothaer Platz",2022-02-26 00:00:00,"12.00 - 13.00 Uhr
14.00 - 15.00 Uhr
16.00 - 17.00 Uhr",2022
Verein Ukrainischer Landsleute in Thüringen,Support Ukraine / Stand with Ukraine,Angerdreieck,2022-02-24 00:00:00,16:30-17:30 Uhr,2022
CDU Erfurt,Demonstration für die Ukraine und gegen die russische Invasion ,Fischmarkt,2022-02-26 00:00:00,13.00 - 14.30 Uhr,2022
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus ,Gemeinsam gegen die Kriegsgefahr!,Angerdreieck,2022-02-25 00:00:00,17.00 - 18.00 Uhr,2022
Einzelperson,Journalist*innen schützen - Pressearbeit sichern,Regierungsstraße 73               abgesagt,2022-03-05 00:00:00,15.00 - 17.30 Uhr,2022
Der III. Weg,Erfurt erwache,vor Anger 1,2022-03-05 00:00:00,10.00 - 12.00 Uhr,2022
Jugendverband REBELL,Rebellion gegen alle Kriegstreiber!,Angerdreieck,2022-02-28 00:00:00,16.00 - 18.00 Uhr,2022
"DIE LINKE Stadtverband Erfurt
",Aufruf zum Frieden: Sofortiger Stop der Kampfhandlungen in der Ukraine! Alla an den Verhandlungstisch!,Angerdreieck,2022-03-04 00:00:00,16.00 - 17.30 Uhr,2022
BÜNDNIS 90/DIE GRÜNEN Landesverband Thüringen,Mahnwache: Solidarität mit der Ukraine,Willy-Brandt-Platz,2022-03-01 00:00:00,15.30 - 18.00 Uhr,2022
"Fridays for Future Erfurt
ABGESAGT!!!","""Klimagerechtigkeit und soziale Gerechtigkeit gehören zusammen""",Theaterplatz,2022-05-01 00:00:00,10.00 - 16.00 Uhr,2022
"CDU Erfurt, SPD Erfurt, Linde Erfurt, Freie Wähler, Piraten, FDP, Mehrwertstadt, Bündnis 90/ Grüne","""Kein Krieg in der Ukraine - Frieden für Europa""",Domplatz,2022-03-05 00:00:00,15:30 - 17:00 Uhr,2022
"Fridays for Future Erfurt
",Solidarität mit der Ukraine,Domplatz,2022-03-03 00:00:00,18.30 - 20.30 Uhr,2022
SjD - Die Falken KV Erfurt,Kundgebung gegen Kriegs-Aufrüstung,Angerdreieck,2022-03-09 00:00:00,17.00 - 19.00 Uhr,2022
"Gewerkschaft Erziehung und Wissenschaft Thüringen
",#fairness - Sonderpädagogische Fachkräfte sind mehr wert,Grünfläche Werner-Seelenbinder-Straße Ecke Friedrich-Ebert-Straße,2022-04-06 00:00:00,16.00 - 18.00 Uhr,2022
Bündnis 8. Mai,"Vorabenddemo zum 8. Mai, Tag der Befreiung",Willy-Brandt-Platz --> Bahnhofstraße -->  Anger --> Angerbrunnen --> Regierungsstraße --> Kettenstraße -->  Domplatz --> Markstraße --> Fischmarkt --> Schlösserstraße --> Angerdreieck,2022-05-07 00:00:00,17.00 - 22.00 Uhr,2022
Einzelperson,ein christliches Zeichen setzen + Mahnwache,Erfurt-Marbach St. Christophorus-Straße,"07.03.2022
14.03.2022
21.03.2022
28.03.2022",19.00 - 20.30 Uhr,2022
"Internationalistisches Bündnis Erfurt
",Stoppt den Krieg in der Ukraine! Gegen jede imperialistische Aggression! Aktiv für den Weltfrieden!,Domplatz,2022-03-05 00:00:00,15.00 - 16.00,2022
"Alternative für Deutschland - AfD
","

Autokorso: Tag der Arbeit",Start: GVZ --> August-Borsig-Straße --> Weimarische Straße --> Stauffenbergallee --> Magdeburger Allee --> Ilversgehofener Platz --> Mainzer Straße --> Vilniuser Straße --> Warschauer Straße --> Nordhäuser Straße --> Moritzwallstraße --> Johannesstraße --> Juri-Gagarin-Ring --> Larl-Marx-Platz --> Dalbergsweg --> Benaryplatz --> Alfred-Hess-Straße --> Steigerstraße --> Schillerstraße --> Weimarische Straße --> Ziel: GVZ,2022-05-01 00:00:00,11.00 - 14.00 Uhr,2022
"Anoymus for the Voiceless
",Abschaffung des Tierleides durch Veganismus,Angerdreieck,2022-03-19 00:00:00,15.00 - 18.00 Uhr,2022
"ezra
","Gegen uns - Rassismus, rechte Gewalt und Migrantifa in Erfurt",Rathausbrücke ,2022-03-21 00:00:00,18.00 - 20.00 Uhr,2022
Jusos in der SPD Erfurt,"Tag der Arbeit , Solidarität ohne Grenzen!",Willy-Brandt-Platz,2022-05-01 00:00:00,08.00 - 18.00 Uhr,2022
Neue Stärke Partei,Heraus zum 01. Mai 2022 in Erfurt - Kein Frieden mit System und Kapital!,"Karl-Reimann-Ring
Drosselberg Marktplatz
Friedrich-Engels-Straße ",2022-03-19 00:00:00,"12.00 - 13.00 Uhr
14.00 - 15.00 Uhr
16.00 - 17.00 Uhr",2022
"DIE LINKE Stadtverband Erfurt
",Aufruf zum Frieden! Rückzug der russischen Truppen! Kein neues Wettrüsten!,Angerdreieck,2022-03-25 00:00:00,16.00 - 17.15 Uhr,2022
ver.di Vereinte Dienstleistungsgewerkschaft,Tarifverhandlungen im Sozial- und Erziehungsdienst,Theaterplatz,2022-05-07 00:00:00,11.45 - 12.45 Uhr,2022
Albert Schweitzer Stiftung für unsere Mitwelt,Tierschutz/ gegen Massentierhaltung,Angerbrunnen bis Anger 8,2022-04-09 00:00:00,14.00 - 17.00 Uhr,2022
Einzelperson,ein christliches Zeichen setzen + Mahnwache,Erfurt Marbach St-Christophorus-Straße,"04.04.2022
11.04.2022
25.04.2022",19.00 - 20.30 Uhr,2022
"Abgeordnetenbüro RedRoXX
","""Frieden ohne Aufrüstung! Nieder mit den Waffen""","Anger, vor Anger 1",2022-04-27 00:00:00,17.00 - 19.00 Uhr,2022
"DIE LINKE Erfurt - für Erfurter Friedensbündnis
",Ostermarsch - Abrüstung jetzt! Raketen zu Buntstiften!,Anger --> Bahnhofstraße --> Windhorststraße --> Friedrich-Ebert-Straße --> Käthe-Kollwitzstraße --> Chrsitian-Kittel-Straße --> Löberwallkaserne,2022-04-14 00:00:00,16.00 - 18.30 Uhr,2022
"SPD Erfurt
ABGESAGT 30.04.2022",Tag der Arbeit - Internationale Solidarität für den Frieden,Barfüßerstraße  / Junkersand Ecke Schlösserstraße ,2022-05-01 00:00:00,09.00 - 17.00 Uhr,2022
"""Unidedagdische Freiheit""
",Freie Impfentscheidung für alle - Freiheit für alle,Theaterplatz --> Maximilian-Welsch-Straße --> Bonemilchstraße --> Bonifaciusstraße --> Alfred-Hess-Straße --> Steigerstraße --> Schillerstraße --> Löberstraße -> Juri-Gagarin-Ring --> Krämpferstraße --> Anger --> Schlösserstraße --> Marktstraße --> Domplatz --> Lauentor --> Maximilian-Welsch-Straße --> Theaterplatz,2022-04-16 00:00:00,13.00 - 16.30 Uhr,2022
Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V.,61. Jahrestag des ersten bemannten Raumfluges der Menschheit 12.04.1961,Denkmal für Juri-Gagarin am Juri-Gagarin-Ring,2022-04-12 00:00:00,13.00 - 13.20 Uhr,2022
"Anoymus for the Voiceless
",Abschaffung des Tierleides durch Veganismus,Fischmarkt,2022-04-16 00:00:00,15.00 - 18.00 Uhr,2022
"Freies Kollektiv Kaffeetrichter
ABGESAGT AM 01.05.2022",Solidarität mit weltweit ausgebeuteten Arbeiter*innen,Innere Johannesmauer gegenüber der AWO,2022-05-01 00:00:00,11.00 - 16.00 Uhr,2022
"abgeordnetenbüro RedRoXX
",Idahobit: Internationaler Tag gegen Homo- und Transfeindlichkeit,Angerdreieck,2022-05-17 00:00:00,15.30 - 18.30 Uhr,2022
Einzelperson,Demokratie,Domplatz,2022-04-28 00:00:00,17.30 - 19.00 Uhr,2022
Verein Ukrainischer Landsleute in Thüringen e.V.,Das Andenken an die Opfer des Krieges in der Ukraine,Willy-Brandt-Platz,2022-04-16 00:00:00,15.00 - 16.00 Uhr,2022
Einzelperson,Corona Presseberichte,Anger,2022-04-16 00:00:00,11.00-17.00 Uhr,2022
VCD Erfurt,"Critical Mass ""Frischluft? Freiheit! Fahrrad!""",Aufzug Stadtgebiet Erfurt,2022-04-29 00:00:00,18.30 - 20.00 Uhr,2022
Freiwilligenvertretung der LKJ Thüringen e.V.,FreiwilligenFAIRdienste - Verbesserung der Bedingungen in Freiwilligendiensten,Platz am Anger 10,2022-04-30 00:00:00,12.00 - 14.00 Uhr,2022
"Albert Schweitzer Stiftung für unsere Mitwelt
",Tierschutz/ gegen Massentierhaltung,"Neuer Angerbrunnen bis Anger 8, 99084 Erfurt",2022-05-07 00:00:00,14.00 - 17.00 Uhr,2022
VCD,"Kidical Mass ""Für ein kinder- und fahrradfreundliches Erfurt""",Willy-Brandt-Platz --> Kurt-Schuhmacher-Str. --> Trommsdorffstraße --> Juri-Gagarin-Ring --> Wende Ecke Franckestraße --> Juri-Gagarin-Ring --> Krämpferstraße --> Meienbergstraße --> Wenigemarkt --> Kürschnergasse --> Junkersand --> Barfüßerstraße --> Weitergasse --> Keilhauergasse --> Lachsgasse --> Juri-Gagarin-Ring --> Dalbergsweb --> Walkmühlstraße --> Bonifaciusstraße --> Bonemilchstraße --> Maximilian-Welsch-Straße --> Theaterplatz ,2022-05-14 00:00:00,15.00 - 16.30 Uhr,2022
Klimacamp Erfurt,Verunglimpfung von Klimaprotest,"Platz vor dem MDR Thüringen, Gothaer Str. 36, 99094 Erfurt",2022-04-21 00:00:00,17.00 - 20.00 Uhr,2022
Neue Stärke Partei,Heraus zum 01. Mai 2022 in Erfurt - Kein Frieden mit System und Kapital!,"Moskauer Platz
Willy-Brandt-Platz
Wiesenhügel",2022-04-23 00:00:00,"12.00 - 13.00 Uhr
14.00 - 15.00 Uhr
16.00 - 17.00 Uhr",2022
Auf die Plätze - Bündnis,no war but class war,Aufzug: Anger --> Stadtgebiet --> Anger,2022-05-01 00:00:00,12.00 - 18.00 Uhr,2022
ver.di Thüringen,"""Für gute Arbeitsbedingungen bei der AWO Thüringen""","Arena Erfurt, Mozartallee 3, 99096 Erfurt",2022-05-14 00:00:00,08.30 - 15.00 Uhr,2022
Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V.,Stilles Gedenken an den 77. Jahrestag der Befreiung vom Hitlerfaschismus,Hauptfriedhof,2022-05-08 00:00:00,11.00 - 12.00 Uhr,2022
VCD Erfurt,Klimamahnwache - für das Leben auf der Erde,Fischmarkt,"04.05.2022
11.05.2022
18.05.2022
25.05.2022",17.00 - 17.15 Uhr,2022
CjD Sachsen / Thrüingen,"""Gemeinsam Barrierefrei"" _ Prostesttag zur Gleichstellung von Menschen mit und ohne Behinderungen",Anger (vor Anger 1),2022-05-05 00:00:00,10.00 - 17.00 Uhr,2022
Einzelperson,"Ein christliches Zeichen setzen und Mahnwache, Gebet, Andacht, Ansprachen, Liedgesang",Erfurt Marbach St-Christophorus-Straße,"02.05.2022
09.05.2022
16.05.2022
23.05.2022
30.05.2022",19.00 - 20.00Uhr,2022
VCD Erfurt,Klimamahnwache - für das Leben auf der Erde,Fischmarkt,"01.06.2022
08.06.2022
15.06.2022
22.06.2022
29.06.2022","15.00 - 15.15 Uhr
17.00 - 17.15 Uhr",2022
VCD Erfurt,Klimamahnwache - für das Leben auf der Erde,Fischmarkt,"06.07.2022
13.07.2022
20.07.2022
27.07.2022",17.00 - 17.15 Uhr,2022
VCD Erfurt,Klimamahnwache - für das Leben auf der Erde,Fischmarkt,"03.08.2022
10.08.2022
17.08.2022
24.08.2022
31.08.2022",,2022
VCD Erfurt,Klimamahnwache - für das Leben auf der Erde,Fischmarkt,"07.09.2022
14.09.2022
21.09.2022
28.09.2022",17.00 - 17.15 Uhr,2022
VCD Erfurt,Klimamahnwache - für das Leben auf der Erde,Fischmarkt,"05.10.2022
12.10.2022
19.10.2022
26.10.2022",17.00 - 17.15 Uhr,2022
VCD Erfurt,Klimamahnwache - für das Leben auf der Erde,Fischmarkt,"02.11.2022
09.11.2022
16.11.2022
23.11.2022
30.11.2022",17.00 - 17.15 Uhr,2022
VCD Erfurt,Klimamahnwache - für das Leben auf der Erde,Fischmarkt,"07.12.2022
14.12.2022
21.12.2022
28.12.2022",17.00 - 17.15 Uhr,2022
